iter	MAE	RMSE
0	13.12279562	15.83568689
5	12.64953298	15.28124136
10	12.19912081	14.7524061
15	11.77935178	14.25955487
20	11.38361589	13.79442814
25	11.00951695	13.3550726
30	10.65729533	12.94163901
35	10.32557798	12.55372526
40	10.01272277	12.18860953
45	9.720802569	11.84828294
50	9.447544558	11.529679
55	9.188964664	11.23114348
60	8.946036039	10.95075037
65	8.718140226	10.68951668
70	8.502041892	10.43910426
75	8.299080052	10.20615155
80	8.10950411	9.989800575
85	7.932639772	9.785685294
90	7.767027841	9.595744732
95	7.606442269	9.415123484
100	7.458843762	9.247528367
105	7.321253835	9.092250778
110	7.192636055	8.947656609
115	7.071864116	8.811606043
120	6.958883778	8.684825883
125	6.854834108	8.569026025
130	6.756403197	8.460101968
135	6.66235413	8.35594551
140	6.573403212	8.257657249
145	6.490323116	8.166920014
150	6.412277355	8.081750403
155	6.340473064	8.00359507
160	6.272659761	7.929770739
165	6.206988989	7.85817714
170	6.146333409	7.793546781
175	6.09085149	7.7344191
180	6.03697022	7.675937513
185	5.985158628	7.619322466
190	5.936733393	7.567042444
195	5.889856162	7.517183041
200	5.844972564	7.469254793
205	5.80476063	7.426611986
210	5.76650404	7.385278382
215	5.729564131	7.345171832
220	5.694157868	7.307094774
225	5.660783526	7.271915428
230	5.629215099	7.238048718
235	5.598711823	7.204832376
240	5.569359312	7.173588546
245	5.54201107	7.144085563
250	5.518466631	7.119053238
255	5.493373656	7.092420582
260	5.471724471	7.068614624
265	5.45049539	7.045710674
270	5.425371041	7.018583037
275	5.397191631	6.987991342
280	5.373748761	6.962830113
285	5.348644619	6.935880967
290	5.327319287	6.912269514
295	5.307383488	6.890491966
300	5.286100698	6.867530109
305	5.266341981	6.8457454
310	5.247786145	6.824906326
315	5.227823226	6.803225256
320	5.212043798	6.786143416
325	5.196263839	6.768742245
330	5.179383101	6.750562079
335	5.163362779	6.733337478
340	5.150080578	6.718846072
345	5.135832669	6.70310141
350	5.122676499	6.688543541
355	5.110237165	6.674911278
360	5.098465743	6.662159536
365	5.08676292	6.648714724
370	5.075371187	6.636368442
375	5.065390791	6.624539895
380	5.053953857	6.611749557
385	5.044294123	6.600871737
390	5.034214816	6.589711601
395	5.025007624	6.579279083
400	5.016263079	6.568852664
405	5.008171024	6.560041186
410	4.997821043	6.548384981
415	4.989058948	6.538446099
420	4.979827826	6.527994216
425	4.971610272	6.5184922
430	4.962792341	6.508739708
435	4.955064554	6.499963241
440	4.946447635	6.490019033
445	4.937645125	6.480002777
450	4.929323343	6.470414176
455	4.919682221	6.459126442
460	4.910558518	6.448761722
465	4.901717189	6.43859605
470	4.893347546	6.428548974
475	4.885153922	6.418926591
480	4.875989272	6.408540335
485	4.867504234	6.398325055
490	4.861139391	6.390844928
495	4.853411072	6.381671017
500	4.846384167	6.373494218
505	4.839140829	6.36460545
510	4.831369967	6.355808668
515	4.823618782	6.347124364
520	4.817313498	6.33990559
525	4.810838578	6.33229935
530	4.80337083	6.323941328
535	4.79718041	6.316400055
540	4.790666139	6.308686241
545	4.784178456	6.301112532
550	4.778538958	6.293953526
555	4.772847877	6.28708309
560	4.765870959	6.2788695
565	4.759673095	6.271496867
570	4.753459278	6.264250704
575	4.747024773	6.256886342
580	4.740892317	6.249746788
585	4.735282598	6.243225319
590	4.730068522	6.237311255
595	4.724965056	6.231261863
600	4.7181833	6.223310933
605	4.712026914	6.215842972
610	4.7061194	6.208681231
615	4.700324092	6.201896394
620	4.694796799	6.195528497
625	4.689984746	6.18971079
630	4.683967154	6.182856627
635	4.67855313	6.176601
640	4.672518521	6.169651598
645	4.668181877	6.164002028
650	4.663374611	6.158383542
655	4.657334684	6.151464044
660	4.652089233	6.145448176
665	4.646576298	6.13924313
670	4.641519096	6.13321354
675	4.636851155	6.1277574
680	4.630816015	6.120658014
685	4.625419539	6.114524869
690	4.619538614	6.107611406
695	4.614880777	6.101937512
700	4.609694353	6.096394065
705	4.604666931	6.090559547
710	4.598967342	6.083934572
715	4.594082436	6.077883361
720	4.587617619	6.070534336
725	4.583442636	6.065892929
730	4.578475836	6.060347399
735	4.574428479	6.055632849
740	4.570392821	6.05034898
745	4.565000068	6.044068826
750	4.559412152	6.037439341
755	4.554433653	6.03191808
760	4.550524027	6.027272698
765	4.545890119	6.021369438
770	4.542196926	6.017056354
775	4.538201152	6.012632631
780	4.533174261	6.00687044
785	4.528740302	6.001669814
790	4.524198924	5.996593088
795	4.519484187	5.991379991
800	4.514800824	5.98562577
805	4.510732728	5.980765184
810	4.506519457	5.97563439
815	4.502183345	5.970678031
820	4.497716415	5.965480619
825	4.493764247	5.960858934
830	4.489270197	5.956083134
835	4.484774552	5.951240953
840	4.480558621	5.94607252
845	4.476627192	5.941671485
850	4.472532507	5.937112237
855	4.469102543	5.932691109
860	4.465017962	5.927998829
865	4.460152998	5.922476465
870	4.455932813	5.917703118
875	4.452029834	5.913199312
880	4.448265914	5.908729153
885	4.444090665	5.903951897
890	4.440278354	5.899772004
895	4.435710387	5.894577929
900	4.430913224	5.889032532
905	4.427886879	5.885419259
910	4.423493867	5.880586172
915	4.419786316	5.876314368
920	4.415699342	5.871845472
925	4.411283729	5.866676707
930	4.407899764	5.86262317
935	4.404922077	5.858911016
940	4.400112152	5.853666331
