iter	Passed	Remaining
0	29	611116
1	57	604307
2	86	602500
3	117	614365
4	145	609460
5	173	607318
6	201	602613
7	230	603946
8	258	601159
9	285	599438
10	313	598327
11	339	593594
12	367	592096
13	396	592972
14	422	590650
15	449	588968
16	477	588926
17	505	588478
18	531	585851
19	556	582969
20	585	583780
21	612	583237
22	636	579915
23	662	578464
24	689	577968
25	720	580242
26	747	580157
27	772	578187
28	799	577641
29	833	581810
30	862	582900
31	892	584233
32	918	583199
33	944	581735
34	976	584446
35	1005	584879
36	1033	584907
37	1062	585324
38	1088	584606
39	1120	586450
40	1148	586364
41	1177	586693
42	1204	586199
43	1231	586023
44	1256	584513
45	1285	584905
46	1315	585621
47	1343	585642
48	1368	584589
49	1399	585861
50	1430	587092
51	1458	586747
52	1484	586048
53	1511	585740
54	1538	585427
55	1569	586211
56	1599	586876
57	1628	587406
58	1656	587170
59	1685	587531
60	1715	588279
61	1742	587828
62	1771	587928
63	1796	587171
64	1826	587604
65	1855	587886
66	1884	588110
67	1911	587890
68	1937	587114
69	1961	585834
70	1988	585655
71	2018	586069
72	2046	586089
73	2071	585221
74	2099	585038
75	2126	584805
76	2158	585873
77	2190	586871
78	2218	586842
79	2246	586912
80	2274	586658
81	2302	586604
82	2327	585964
83	2352	585170
84	2378	584600
85	2403	583805
86	2429	583442
87	2458	583524
88	2486	583562
89	2513	583385
90	2540	583058
91	2567	582895
92	2593	582308
93	2620	582072
94	2645	581615
95	2675	581856
96	2702	581662
97	2736	583115
98	2764	583093
99	2792	582939
100	2820	583024
101	2853	583975
102	2881	583958
103	2909	583999
104	2936	583676
105	2963	583430
106	2990	583306
107	3019	583408
108	3048	583677
109	3077	583883
110	3108	584311
111	3136	584363
112	3164	584238
113	3195	584873
114	3223	584826
115	3251	584695
116	3280	584971
117	3306	584432
118	3334	584460
119	3365	584912
120	3394	585088
121	3422	585051
122	3449	584887
123	3478	585023
124	3507	585046
125	3537	585338
126	3563	585048
127	3589	584730
128	3617	584686
129	3647	584921
130	3678	585324
131	3705	585197
132	3731	584757
133	3759	584787
134	3786	584619
135	3814	584486
136	3842	584501
137	3873	585001
138	3905	585477
139	3932	585314
140	3957	584835
141	3983	584531
142	4010	584229
143	4040	584545
144	4066	584225
145	4094	584236
146	4123	584255
147	4151	584235
148	4180	584313
149	4208	584290
150	4236	584299
151	4262	584030
152	4292	584223
153	4320	584142
154	4345	583756
155	4379	584473
156	4402	583867
157	4429	583700
158	4461	584145
159	4491	584401
160	4520	584423
161	4546	584218
162	4574	584107
163	4603	584209
164	4630	584084
165	4655	583708
166	4684	583705
167	4713	583863
168	4741	583755
169	4773	584247
170	4801	584219
171	4828	584107
172	4856	583964
173	4884	583978
174	4911	583848
175	4938	583669
176	4965	583517
177	4991	583274
178	5019	583251
179	5051	583608
180	5077	583403
181	5104	583257
182	5131	583087
183	5161	583232
184	5190	583307
185	5219	583438
186	5245	583137
187	5273	583120
188	5301	583130
189	5330	583218
